"Jday","CLAR","CROG","DUAN","ELDR","HFAL","NBRA","NHUD","OLDF","OSCE","PISE","RAQU","SARA","SUFF","TANN","TUPP","WFMB","WGAT"
1,21.633,21.564,21.564,21.681,21.616,21.673,21.462,21.563,21.626,21.548,21.535,21.418,21.65,21.595,21.499,21.45,21.587
2,21.647,21.579,21.579,21.695,21.631,21.688,21.477,21.578,21.641,21.563,21.55,21.433,21.665,21.61,21.514,21.465,21.602
3,21.662,21.595,21.594,21.71,21.646,21.703,21.493,21.594,21.657,21.578,21.566,21.449,21.679,21.625,21.53,21.481,21.618
4,21.678,21.611,21.61,21.726,21.661,21.718,21.509,21.61,21.673,21.594,21.582,21.466,21.695,21.641,21.546,21.497,21.634
5,21.694,21.628,21.626,21.741,21.677,21.734,21.526,21.626,21.689,21.611,21.598,21.483,21.71,21.656,21.562,21.514,21.65
6,21.71,21.645,21.642,21.757,21.693,21.75,21.543,21.643,21.706,21.627,21.615,21.5,21.726,21.673,21.58,21.531,21.667
7,21.727,21.662,21.659,21.774,21.71,21.767,21.56,21.661,21.723,21.645,21.632,21.518,21.742,21.689,21.597,21.549,21.684
8,21.744,21.68,21.677,21.791,21.727,21.783,21.578,21.678,21.741,21.662,21.65,21.536,21.759,21.706,21.615,21.567,21.702
9,21.761,21.698,21.694,21.808,21.744,21.801,21.596,21.696,21.759,21.68,21.668,21.554,21.776,21.724,21.633,21.585,21.72
10,21.778,21.717,21.712,21.825,21.762,21.818,21.615,21.715,21.777,21.699,21.687,21.573,21.793,21.742,21.652,21.604,21.738
11,21.796,21.736,21.731,21.843,21.779,21.836,21.634,21.734,21.796,21.717,21.706,21.593,21.811,21.76,21.671,21.623,21.757
12,21.815,21.755,21.749,21.861,21.798,21.854,21.653,21.753,21.815,21.736,21.725,21.612,21.829,21.778,21.691,21.642,21.776
13,21.833,21.775,21.768,21.879,21.816,21.873,21.673,21.772,21.834,21.756,21.744,21.632,21.847,21.797,21.71,21.662,21.796
14,21.852,21.795,21.788,21.898,21.835,21.892,21.693,21.792,21.854,21.775,21.764,21.653,21.865,21.816,21.73,21.682,21.815
15,21.871,21.815,21.807,21.917,21.854,21.911,21.713,21.812,21.874,21.795,21.784,21.673,21.884,21.835,21.751,21.703,21.835
16,21.891,21.835,21.827,21.936,21.873,21.93,21.734,21.833,21.894,21.815,21.805,21.694,21.903,21.854,21.771,21.724,21.855
17,21.91,21.856,21.847,21.955,21.893,21.949,21.754,21.853,21.915,21.836,21.825,21.715,21.922,21.874,21.792,21.745,21.876
18,21.93,21.877,21.867,21.975,21.912,21.969,21.775,21.874,21.935,21.856,21.846,21.737,21.941,21.894,21.813,21.766,21.897
19,21.95,21.898,21.888,21.995,21.932,21.989,21.797,21.895,21.956,21.877,21.867,21.759,21.961,21.914,21.835,21.787,21.918
20,21.97,21.92,21.908,22.015,21.952,22.009,21.818,21.916,21.977,21.898,21.889,21.78,21.98,21.934,21.856,21.809,21.939
21,21.99,21.941,21.929,22.035,21.972,22.029,21.84,21.938,21.999,21.92,21.91,21.803,22,21.955,21.878,21.831,21.96
22,22.011,21.963,21.95,22.055,21.993,22.05,21.861,21.959,22.02,21.941,21.932,21.825,22.02,21.975,21.9,21.853,21.982
23,22.032,21.985,21.971,22.075,22.013,22.07,21.883,21.981,22.042,21.963,21.954,21.847,22.04,21.996,21.922,21.875,22.003
24,22.052,22.007,21.993,22.096,22.034,22.091,21.906,22.003,22.063,21.985,21.976,21.87,22.061,22.017,21.945,21.898,22.025
25,22.073,22.029,22.014,22.116,22.055,22.112,21.928,22.025,22.085,22.006,21.998,21.893,22.081,22.038,21.967,21.92,22.047
26,22.094,22.052,22.036,22.137,22.076,22.133,21.95,22.048,22.107,22.028,22.02,21.916,22.101,22.059,21.99,21.943,22.069
27,22.115,22.074,22.057,22.158,22.097,22.154,21.973,22.07,22.13,22.051,22.043,21.939,22.122,22.08,22.012,21.966,22.091
28,22.137,22.097,22.079,22.179,22.118,22.175,21.995,22.092,22.152,22.073,22.065,21.962,22.143,22.102,22.035,21.989,22.113
29,22.158,22.12,22.101,22.2,22.139,22.196,22.018,22.115,22.174,22.095,22.088,21.985,22.163,22.123,22.058,22.012,22.136
30,22.179,22.142,22.123,22.221,22.16,22.217,22.041,22.137,22.197,22.117,22.11,22.009,22.184,22.144,22.081,22.035,22.158
31,22.2,22.165,22.145,22.242,22.181,22.238,22.064,22.16,22.219,22.14,22.133,22.032,22.205,22.166,22.104,22.058,22.181
32,22.222,22.188,22.167,22.263,22.202,22.26,22.087,22.183,22.241,22.162,22.156,22.055,22.225,22.187,22.127,22.081,22.203
33,22.243,22.211,22.189,22.284,22.224,22.281,22.11,22.205,22.264,22.185,22.179,22.079,22.246,22.209,22.15,22.104,22.226
34,22.265,22.234,22.211,22.305,22.245,22.302,22.133,22.228,22.287,22.207,22.201,22.102,22.267,22.231,22.173,22.128,22.248
35,22.286,22.257,22.233,22.326,22.266,22.323,22.156,22.251,22.309,22.23,22.224,22.126,22.288,22.252,22.196,22.151,22.271
36,22.307,22.28,22.255,22.347,22.288,22.345,22.179,22.274,22.332,22.253,22.247,22.15,22.309,22.274,22.22,22.174,22.294
37,22.329,22.303,22.277,22.368,22.309,22.366,22.202,22.297,22.354,22.275,22.27,22.173,22.329,22.295,22.243,22.198,22.316
38,22.35,22.326,22.299,22.389,22.33,22.387,22.225,22.319,22.377,22.298,22.293,22.197,22.35,22.317,22.266,22.221,22.339
39,22.372,22.349,22.321,22.41,22.351,22.409,22.248,22.342,22.399,22.32,22.316,22.22,22.371,22.338,22.289,22.244,22.361
40,22.393,22.372,22.343,22.431,22.372,22.43,22.27,22.365,22.422,22.343,22.338,22.244,22.392,22.36,22.312,22.267,22.384
41,22.414,22.394,22.365,22.452,22.394,22.451,22.293,22.387,22.444,22.365,22.361,22.267,22.412,22.381,22.335,22.291,22.406
42,22.435,22.417,22.387,22.473,22.415,22.472,22.316,22.41,22.467,22.388,22.384,22.291,22.433,22.403,22.358,22.314,22.429
43,22.457,22.44,22.409,22.494,22.436,22.493,22.339,22.433,22.489,22.41,22.407,22.314,22.453,22.424,22.381,22.337,22.451
44,22.478,22.463,22.43,22.515,22.457,22.514,22.362,22.455,22.512,22.432,22.429,22.337,22.474,22.445,22.404,22.36,22.474
45,22.499,22.485,22.452,22.535,22.478,22.535,22.385,22.478,22.534,22.454,22.452,22.361,22.494,22.466,22.427,22.383,22.496
46,22.52,22.508,22.474,22.556,22.499,22.556,22.407,22.5,22.556,22.477,22.474,22.384,22.515,22.488,22.45,22.406,22.518
47,22.541,22.531,22.495,22.577,22.519,22.577,22.43,22.522,22.578,22.499,22.497,22.407,22.535,22.509,22.473,22.429,22.54
48,22.562,22.553,22.517,22.597,22.54,22.597,22.452,22.545,22.6,22.521,22.519,22.43,22.555,22.53,22.495,22.452,22.563
49,22.582,22.576,22.538,22.618,22.561,22.618,22.475,22.567,22.622,22.543,22.541,22.453,22.575,22.551,22.518,22.475,22.585
50,22.603,22.598,22.56,22.638,22.581,22.639,22.497,22.589,22.644,22.565,22.563,22.476,22.595,22.571,22.54,22.497,22.607
51,22.624,22.62,22.581,22.658,22.602,22.659,22.519,22.611,22.666,22.586,22.586,22.499,22.615,22.592,22.563,22.52,22.628
52,22.644,22.642,22.602,22.678,22.622,22.679,22.542,22.633,22.688,22.608,22.608,22.522,22.635,22.613,22.585,22.542,22.65
53,22.664,22.664,22.623,22.698,22.642,22.7,22.564,22.655,22.71,22.63,22.63,22.545,22.654,22.633,22.608,22.565,22.672
54,22.685,22.686,22.644,22.718,22.662,22.72,22.586,22.677,22.731,22.651,22.651,22.567,22.674,22.654,22.63,22.587,22.693
55,22.705,22.708,22.665,22.738,22.682,22.74,22.608,22.698,22.753,22.673,22.673,22.59,22.694,22.674,22.652,22.609,22.715
56,22.725,22.73,22.686,22.758,22.702,22.76,22.629,22.72,22.774,22.694,22.695,22.612,22.713,22.694,22.674,22.632,22.736
57,22.745,22.752,22.706,22.778,22.722,22.78,22.651,22.741,22.795,22.715,22.716,22.635,22.732,22.715,22.696,22.654,22.758
58,22.765,22.773,22.727,22.797,22.742,22.8,22.673,22.763,22.816,22.737,22.738,22.657,22.752,22.735,22.718,22.676,22.779
59,22.785,22.795,22.747,22.817,22.762,22.819,22.694,22.784,22.838,22.758,22.759,22.679,22.771,22.755,22.739,22.697,22.8
60,22.805,22.816,22.768,22.836,22.781,22.839,22.716,22.805,22.859,22.779,22.78,22.701,22.79,22.774,22.761,22.719,22.821
61,22.824,22.837,22.788,22.855,22.801,22.859,22.737,22.826,22.879,22.799,22.802,22.723,22.809,22.794,22.782,22.741,22.842
62,22.844,22.859,22.808,22.874,22.82,22.878,22.758,22.848,22.9,22.82,22.823,22.745,22.828,22.814,22.804,22.763,22.863
63,22.863,22.88,22.829,22.893,22.839,22.897,22.78,22.868,22.921,22.841,22.844,22.767,22.846,22.834,22.825,22.784,22.884
64,22.882,22.901,22.849,22.912,22.859,22.916,22.801,22.889,22.942,22.862,22.865,22.788,22.865,22.853,22.847,22.805,22.904
65,22.902,22.922,22.869,22.931,22.878,22.936,22.822,22.91,22.962,22.882,22.885,22.81,22.884,22.872,22.868,22.827,22.925
66,22.921,22.943,22.888,22.95,22.897,22.955,22.843,22.931,22.983,22.903,22.906,22.832,22.902,22.892,22.889,22.848,22.945
67,22.94,22.964,22.908,22.969,22.916,22.974,22.863,22.951,23.003,22.923,22.927,22.853,22.921,22.911,22.91,22.869,22.966
68,22.959,22.984,22.928,22.988,22.935,22.993,22.884,22.972,23.023,22.943,22.947,22.874,22.939,22.93,22.931,22.89,22.986
69,22.978,23.005,22.947,23.006,22.953,23.011,22.905,22.992,23.043,22.963,22.968,22.896,22.957,22.949,22.952,22.911,23.006
70,22.997,23.025,22.967,23.025,22.972,23.03,22.925,23.013,23.064,22.983,22.988,22.917,22.975,22.968,22.972,22.932,23.026
71,23.016,23.046,22.986,23.043,22.991,23.049,22.946,23.033,23.084,23.003,23.009,22.938,22.993,22.987,22.993,22.953,23.047
72,23.034,23.066,23.006,23.061,23.009,23.067,22.966,23.053,23.104,23.023,23.029,22.959,23.011,23.006,23.014,22.974,23.067
73,23.053,23.087,23.025,23.08,23.028,23.086,22.987,23.073,23.124,23.043,23.049,22.98,23.029,23.025,23.034,22.995,23.086
74,23.071,23.107,23.044,23.098,23.046,23.104,23.007,23.093,23.143,23.063,23.069,23.001,23.047,23.044,23.055,23.015,23.106
75,23.09,23.127,23.064,23.116,23.064,23.123,23.027,23.113,23.163,23.083,23.089,23.022,23.065,23.062,23.075,23.036,23.126
76,23.108,23.147,23.083,23.134,23.083,23.141,23.047,23.133,23.183,23.103,23.109,23.043,23.083,23.081,23.095,23.056,23.146
